user_id,total_name,username,password,email,address,subscriber,age,drink_frequency,roast_preference,gender
0,Jason Smith,jill86,tacos,ryangarcia@hotmail.com,"79249 Nicholas Key Apt. 094
South Marystad, MI 14596",0,1955-6-24,2,espresso,M
1,Dan Mason Jr.,stacy18,password,walterpaul@gmail.com,"101 Butler Harbor
North Johnny, DC 31445",1,1968-6-17,4,medium,M
2,Sherri Jones,norrisjames,password,annajones@yahoo.com,"99682 Patricia Forest Suite 563
Phillipsville, LA 19611",1,1938-7-3,4,dark,F
3,Natasha Horton,michelleray,unlock,anthonymassey@yahoo.com,"4988 Hartman Shore Suite 586
West Raymond, WV 80466",1,1971-5-14,1,espresso,F
4,Samantha Howard,kathleenlester,computer,ylambert@gmail.com,"0900 Gonzales Drives
West Albert, TX 29011",0,1907-7-21,4,light,F
5,James Dennis,lisaprice,qwerty,donnaschmitt@yahoo.com,"1641 Yvonne Run
North James, IL 98068",1,1963-3-24,4,light,M
6,Jasmine Richardson,sheributler,1234,dlyons@yahoo.com,"68321 Rogers Crescent
Alanborough, AL 51692",1,1960-7-18,4,espresso,F
7,Debbie Craig,vbrown,unlock,kristin99@yahoo.com,"812 Garcia Corner Apt. 996
Lake Saraview, WI 39590",1,2018-9-8,2,espresso,F
8,Cameron Smith,chadguerra,computer,stevendougherty@hotmail.com,"18075 Walters Village
Mitchellton, OK 16170",0,1981-12-26,1,espresso,M
9,Brian Williams,dkeller,notpassword,schaeferjeffrey@yahoo.com,"340 Cameron Plaza
Martinchester, FL 82972",1,1999-10-29,5,light,M
10,Tara Williams,theresaforbes,unlock,edwardsjoshua@gmail.com,"PSC 0036, Box 8197
APO AP 21320",1,1988-9-27,1,espresso,F
11,Alexis Wagner,johnreid,1234,jessica33@gmail.com,"06637 David Stream Apt. 741
West David, IL 48586",1,1935-10-25,3,light,F
12,Jonathan Mathews,josephlopez,1234,sara80@gmail.com,"199 Micheal Views Suite 828
Cannontown, IA 04663",0,1912-12-6,3,dark,M
13,Samuel Henderson,campbellrebecca,qwerty,lauraking@hotmail.com,"3132 Christina Expressway Apt. 658
Jacobport, OR 43797",1,1977-3-11,2,light,M
14,Wendy Thompson,mwilliams,computer,wschwartz@gmail.com,"024 Sara Parks
South Caitlin, CO 30932",1,2007-2-1,1,dark,F
15,Jessica Harris,uadams,1234,kmartin@hotmail.com,"26934 Sean Corner
Mariaburgh, KS 03935",1,2013-5-3,5,espresso,F
16,Derrick Contreras,ericblair,tacos,nicolebarton@gmail.com,"09845 Sara Port
South Christopher, DE 21823",0,1934-4-17,2,light,M
17,Mary Weaver,carolyncallahan,password,spencerkeith@hotmail.com,"58335 Vickie Overpass Suite 464
Gallegosville, IL 19653",1,1987-10-25,1,medium,F
18,Lucas Gomez,jamespeterson,computer,donnaharrison@gmail.com,"6212 Joshua Gardens Suite 176
Justinside, AL 05082",1,1979-7-15,4,light,M
