user_id,total_name,username,password,email,address,subscriber,age,drink_frequency,roast_preference,gender
0,Jason Smith,jill86,tacos,ryangarcia@hotmail.com,"79249 Nicholas Key Apt. 094
South Marystad, MI 14596",0,6/17/68,2,espresso,M
1,Dan Mason Jr.,stacy18,password,walterpaul@gmail.com,"101 Butler Harbor
North Johnny, DC 31445",1,7/3/38,4,medium,M
2,Sherri Jones,norrisjames,password,annajones@yahoo.com,"99682 Patricia Forest Suite 563
Phillipsville, LA 19611",1,5/14/71,4,dark,F
3,Natasha Horton,michelleray,unlock,anthonymassey@yahoo.com,"4988 Hartman Shore Suite 586
West Raymond, WV 80466",1,7/21/07,1,espresso,F
4,Samantha Howard,kathleenlester,computer,ylambert@gmail.com,"0900 Gonzales Drives
West Albert, TX 29011",0,3/24/63,4,light,F
5,James Dennis,lisaprice,qwerty,donnaschmitt@yahoo.com,"1641 Yvonne Run
North James, IL 98068",1,7/18/60,4,light,M
6,Jasmine Richardson,sheributler,1234,dlyons@yahoo.com,"68321 Rogers Crescent
Alanborough, AL 51692",1,9/8/18,4,espresso,F
7,Debbie Craig,vbrown,unlock,kristin99@yahoo.com,"812 Garcia Corner Apt. 996
Lake Saraview, WI 39590",1,12/26/81,2,espresso,F
8,Cameron Smith,chadguerra,computer,stevendougherty@hotmail.com,"18075 Walters Village
Mitchellton, OK 16170",0,10/29/99,1,espresso,M
9,Brian Williams,dkeller,notpassword,schaeferjeffrey@yahoo.com,"340 Cameron Plaza
Martinchester, FL 82972",1,9/27/88,5+,light,M
10,Tara Williams,theresaforbes,unlock,edwardsjoshua@gmail.com,"PSC 0036, Box 8197
APO AP 21320",1,10/25/35,1,espresso,F
11,Alexis Wagner,johnreid,1234,jessica33@gmail.com,"06637 David Stream Apt. 741
West David, IL 48586",1,12/6/12,3,light,F
12,Jonathan Mathews,josephlopez,1234,sara80@gmail.com,"199 Micheal Views Suite 828
Cannontown, IA 04663",0,3/11/77,3,dark,M
13,Samuel Henderson,campbellrebecca,qwerty,lauraking@hotmail.com,"3132 Christina Expressway Apt. 658
Jacobport, OR 43797",1,2/1/07,2,light,M
14,Wendy Thompson,mwilliams,computer,wschwartz@gmail.com,"024 Sara Parks
South Caitlin, CO 30932",1,5/3/13,1,dark,F
15,Jessica Harris,uadams,1234,kmartin@hotmail.com,"26934 Sean Corner
Mariaburgh, KS 03935",1,4/17/34,5+,espresso,F
16,Derrick Contreras,ericblair,tacos,nicolebarton@gmail.com,"09845 Sara Port
South Christopher, DE 21823",0,10/25/87,2,light,M
17,Mary Weaver,carolyncallahan,password,spencerkeith@hotmail.com,"58335 Vickie Overpass Suite 464
Gallegosville, IL 19653",1,7/15/79,1,medium,F
18,Lucas Gomez,jamespeterson,computer,donnaharrison@gmail.com,"6212 Joshua Gardens Suite 176
Justinside, AL 05082",1,7/19/02,4,light,M
19,Kelsey Davis,tinabailey,qwerty,henrybradley@gmail.com,"3033 Melanie Wells
Port Andrewhaven, DE 92956",1,6/8/06,1,light,F
20,Garrett Foster,jennifer62,password,grant02@gmail.com,"30416 Steven Row
Weststad, DE 78482",0,5/9/18,4,dark,M
21,Benjamin Taylor,mfarley,tacos,seangarcia@hotmail.com,"816 Joyce Drive
Annaside, CA 31520",1,8/10/35,3,dark,M
22,Austin Riley,fjefferson,tacos,daviscarrie@yahoo.com,"1370 Chen River Apt. 445
Jaketown, AR 89001",1,11/7/30,3,medium,M
23,Christine Jones,lgarcia,1234,david65@hotmail.com,"79636 Renee Greens
West Tyler, AL 44426",1,4/18/16,3,espresso,F
24,Kelly Diaz,christopher71,1234,tevans@yahoo.com,"1386 Maria Locks
South Audrey, TN 54812",0,7/4/17,2,medium,M
25,Chelsea Hoover,hernandezjoseph,qwerty,brittanybowen@hotmail.com,"011 Fowler Locks Suite 797
South Melissa, SD 95114",1,7/28/60,5+,dark,F
26,Rebecca Carter,dawsonchristopher,tacos,debrabrown@hotmail.com,"8611 Williams Springs
South Laura, NE 61889",1,4/7/88,4,medium,F
