,job,6,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate
0,Biomedical engineer,Snyder-Hale,271-71-0305,"10020 Robert Gardens
Johnfurt, RI 44596","(Decimal('88.7500405'), Decimal('95.919352'))",O-,"['https://www.finley.com/', 'https://parker.com/', 'http://www.roberts.com/', 'http://gonzales.org/']",jill86,Jason Smith,M,"79249 Nicholas Key Apt. 094
South Marystad, MI 14596",ryangarcia@hotmail.com,6/17/1968
1,Retail banker,Rubio-Johnson,525-68-8957,"96197 Ronald Crossroad
Jennifertown, NH 98792","(Decimal('-89.427813'), Decimal('-70.739737'))",AB-,['http://www.hughes-wilson.com/'],stacy18,Dan Mason Jr.,M,"101 Butler Harbor
North Johnny, DC 31445",walterpaul@gmail.com,7/3/1938
2,Haematologist,Hill-Cruz,041-49-2746,"956 Denise Stream
Rickeymouth, CT 09337","(Decimal('61.919721'), Decimal('-166.356215'))",O-,"['https://lloyd.com/', 'http://www.walls.org/']",norrisjames,Sherri Jones,F,"99682 Patricia Forest Suite 563
Phillipsville, LA 19611",annajones@yahoo.com,5/14/1971
3,"Horticulturist, amenity",Bonilla-Davis,611-95-2373,"184 Coleman Burg Suite 032
Katelynland, NH 92081","(Decimal('42.2487675'), Decimal('-40.714300'))",O+,['http://wilson-cox.com/'],michelleray,Natasha Horton,F,"4988 Hartman Shore Suite 586
West Raymond, WV 80466",anthonymassey@yahoo.com,7/21/1907
4,Architectural technologist,"Gutierrez, Bonilla and Montoya",503-06-4125,"1464 Jacob Park Suite 401
South Susanmouth, NY 61684","(Decimal('-0.370140'), Decimal('-97.349623'))",B-,"['https://andrews.com/', 'http://smith.com/']",kathleenlester,Samantha Howard,F,"0900 Gonzales Drives
West Albert, TX 29011",ylambert@gmail.com,3/24/1963
5,"Psychologist, clinical",Hill-Lee,120-38-8268,"73670 Coleman Track
South Rachelland, TN 54068","(Decimal('-19.108009'), Decimal('16.733058'))",O-,['http://www.hill.com/'],lisaprice,James Dennis,M,"1641 Yvonne Run
North James, IL 98068",donnaschmitt@yahoo.com,7/18/1960
6,Civil Service fast streamer,Smith Ltd,372-68-1318,"05262 Calvin Green
Millerview, CA 14194","(Decimal('9.2268625'), Decimal('-97.315454'))",AB+,"['https://fisher-mullins.org/', 'https://cannon.net/', 'http://fuller.com/']",sheributler,Jasmine Richardson,F,"68321 Rogers Crescent
Alanborough, AL 51692",dlyons@yahoo.com,9/8/2018
7,Fine artist,Ford-Smith,356-69-7772,"USS Baker
FPO AP 75560","(Decimal('6.962828'), Decimal('166.264576'))",O-,"['https://www.caldwell.com/', 'http://www.le.com/']",vbrown,Debbie Craig,F,"812 Garcia Corner Apt. 996
Lake Saraview, WI 39590",kristin99@yahoo.com,12/26/1981
8,Architect,Johnson-Reid,426-33-1102,"54238 Murray Garden Apt. 862
Kennethshire, WI 75516","(Decimal('-55.439527'), Decimal('55.875671'))",O+,['http://gomez-hernandez.com/'],chadguerra,Cameron Smith,M,"18075 Walters Village
Mitchellton, OK 16170",stevendougherty@hotmail.com,10/29/1999
9,Systems analyst,Rivera-Weaver,644-29-9126,"354 Mendoza Brook
North John, HI 73956","(Decimal('72.200054'), Decimal('141.214971'))",A+,"['https://schwartz.org/', 'http://jordan-taylor.com/']",dkeller,Brian Williams,M,"340 Cameron Plaza
Martinchester, FL 82972",schaeferjeffrey@yahoo.com,9/27/1988
10,Medical technical officer,Garcia-Beltran,073-86-0556,"32969 Casey Squares
Lake Sarahland, AL 58783","(Decimal('-43.6166865'), Decimal('73.643528'))",O-,"['https://www.crane.com/', 'http://noble-stone.net/', 'https://james.com/', 'http://www.allen-jones.net/']",theresaforbes,Tara Williams,F,"PSC 0036, Box 8197
APO AP 21320",edwardsjoshua@gmail.com,10/25/1935
11,"Clinical scientist, histocompatibility and immunogenetics",Gomez-Short,146-68-0203,"898 William Village Apt. 556
North Douglas, GA 53461","(Decimal('72.391250'), Decimal('27.244286'))",AB-,"['http://lopez-pham.com/', 'https://gonzalez.com/', 'https://www.palmer.com/', 'https://www.wood-lowery.com/']",johnreid,Alexis Wagner,F,"06637 David Stream Apt. 741
West David, IL 48586",jessica33@gmail.com,12/6/1912
12,Commercial art gallery manager,Boyd-Snyder,223-42-5963,"1303 Simpson Ranch Suite 764
Mathewsport, MN 79441","(Decimal('28.525267'), Decimal('-70.275471'))",A-,"['https://ferguson.info/', 'http://hawkins.com/', 'http://castillo.com/']",josephlopez,Jonathan Mathews,M,"199 Micheal Views Suite 828
Cannontown, IA 04663",sara80@gmail.com,3/11/1977
13,Tour manager,Patrick-Mills,033-46-6683,"209 Sydney Path Apt. 211
New Joeltown, IN 58091","(Decimal('34.3753595'), Decimal('120.180193'))",AB-,"['http://www.alvarado.com/', 'https://lee-carlson.com/', 'https://meyer.com/', 'https://dunn.com/']",campbellrebecca,Samuel Henderson,M,"3132 Christina Expressway Apt. 658
Jacobport, OR 43797",lauraking@hotmail.com,2/1/2007
